EEBO,Author
99850634,"Aylett, Robert, 1583-1655?"
99842408,"Higden, Ranulf, d. 1364. Polycronicon. English. Selections.; Trevisa, John, d. 1402."
99844302,"Higden, Ranulf, d. 1364. Polycronicon."
99848896,"Wood, William, fl. 1623, attributed name."
99837000,
99853871,"Aylett, Robert, 1583-1655?"
33143147,
99837006,"Jones, William, of Usk."
99850740,
99836999,"Bacon, Francis, 1561-1626."
99853869,"Aylett, Robert, 1583-1655?"
29905398,
29900271,
23006728,
22839131,England and Wales. Sovereign (1558-1603 : Elizabeth I); Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker)
99836174,"Aylett, Robert, 1583-1655?"
33143080,Church of England.
99853870,"Aylett, Robert, 1583-1655?"
99837338,Church of England.
99835843,Church of England.
99844394,"Church of England.; Henry VIII, King of England, 1491-1547."
99847167,"Church of England.; Henry VIII, King of England, 1491-1547."
22841048,"England and Wales. Sovereign (1558-1603 : Elizabeth I); Elizabeth I, Queen of England, 1533-1603."
99851064,"Aytoun, Robert, Sir, 1570-1638."
99847661,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575."
22884259,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583."
24399905,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583."
99851065,"Aytoun, Robert, Sir, 1570-1638."
23024568,"Church of England. Diocese of Chichester. Bishop (1628-1638 : Montagu); Montagu, Richard, 1577-1641."
20191373,"Boorde, Andrew, 1490?-1549."
22372238,"Church of England. Province of Canterbury. Archbishop (1611-1633 : Abbot); Abbot, George, 1562-1633."
24404091,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594."
22914254,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594."
99837433,"Church of England. Diocese of London. Bishop (1539-1549, 1553-1559 : Bonner); Bonner, Edmund, 1500?-1569."
99852003,"Church of England. Diocese of London. Bishop (1570-1577 : Sandys); Sandys, Edwin, 1516?-1588."
24438958,"Church of England. Province of Canterbury. Archbishop (1633-1645 : Laud); Laud, William, 1573-1645."
99837436,"Church of England. Diocese of London. Bishop (1633-1660 : Juxon); Juxon, William, 1582-1663.; Heylyn, Peter, 1600-1662."
