TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
A00002,99850634,15849,STC 1000.5; ESTC S115415,Free,"Aylett, Robert, 1583-1655?",1625,"The brides ornaments viz. fiue meditations, morall and diuine. 1. Knowledge, 2. zeale, 3. temperance, 4. bountie, 5. ioy.",,134
A00005,99842408,7058,STC 10000; ESTC S106695,Free,"Higden, Ranulf, d. 1364. Polycronicon. English. Selections.; Trevisa, John, d. 1402.",1515,Here begynneth a shorte and abreue table on the Cronycles ...; Saint Albans chronicle.,Great Britain -- History -- To 1485 -- Early works to 1800.; England -- Description and travel -- Early works to 1800.,302
A00007,99844302,9101,STC 10002; ESTC S108645,Free,"Higden, Ranulf, d. 1364. Polycronicon.",1528,"The Cronycles of Englonde with the dedes of popes and emperours, and also the descripcyon of Englonde; Saint Albans chronicle.",Great Britain -- History -- To 1485 -- Early works to 1800.; England -- Description and travel -- Early works to 1800.,386
A00008,99848896,14017,STC 10003; ESTC S113665,Free,"Wood, William, fl. 1623, attributed name.",1623,Considerations vpon the treaty of marriage between England and Spain,Great Britain -- Foreign relations -- Spain.,14
A00011,99837000,1304,STC 10008; ESTC S101178,Free,,1640,"Englands complaint to Iesus Christ, against the bishops canons of the late sinfull synod, a seditious conuenticle, a packe of hypocrites, a sworne confederacy, a traiterous conspiracy ... In this complaint are specified those impieties and insolencies, which are most notorious, scattered through the canons and constitutions of the said sinfull synod. And confuted by arguments annexed hereunto.",Church of England. -- Thirty-nine Articles -- Controversial literature.; Canon law -- Early works to 1800.,54
A00012,99853871,19269,STC 1001; ESTC S118664,Free,"Aylett, Robert, 1583-1655?",1623,"Ioseph, or, Pharoah's fauourite; Joseph.",Joseph -- (Son of Jacob) -- Early works to 1800.,99
A00014,33143147,28259,STC 10011.6; ESTC S3200,Free,,1624,Greate Brittaines noble and worthy councell of warr,"England and Wales. -- Privy Council -- Portraits.; Great Britain -- History -- James I, 1603-1625.; Broadsides -- London (England) -- 17th century.",1
A00015,99837006,1310,STC 10011; ESTC S101184,Free,"Jones, William, of Usk.",1607,"Gods vvarning to his people of England By the great ouer-flowing of the vvaters or floudes lately hapned in South-wales and many other places. Wherein is described the great losses, and wonderfull damages, that hapned thereby: by the drowning of many townes and villages, to the vtter vndooing of many thousandes of people.",Floods -- Wales -- Early works to 1800.,16
A00018,99850740,15965,STC 10015; ESTC S115521,Free,,1558,The lame[n]tacion of England; Lamentacion of England.,"Great Britain -- History -- Mary I, 1553-1558 -- Early works to 1800.",26
A00021,99836999,1303,STC 10017; ESTC S101177,Free,"Bacon, Francis, 1561-1626.",1599,"A letter vvritten out of England to an English gentleman remaining at Padua containing a true report of a strange conspiracie, contriued betweene Edward Squire, lately executed for the same treason as actor, and Richard Walpoole a Iesuite, as deuiser and suborner against the person of the Queenes Maiestie.","Squire, Edward, d. 1598.; Walpole, Richard, 1564-1607.; Great Britain -- History -- Elizabeth, 1558-1603 -- Early works to 1800.",16
A00024,99853869,19267,STC 1002; ESTC S118662,Free,"Aylett, Robert, 1583-1655?",1622,"Peace with her foure garders Viz. fiue morall meditations: of concord, chastitie, constancie. Courtesie. Grauitie. Eschew euill, and doe good, seeke peace and ensue it.",Conduct of life -- Early works to 1800.,62
A00025,29905398,28125,STC 10020.5; ESTC S3065,Free,,1613,"The Royall line of kings, queenes, and princes, from the vniting of the two royall houses, Yorke and Lancaster","Elizabeth, -- Queen, consort of Frederick I, King of Bohemia, 1596-1662.; Frederick -- I, -- King of Bohemia, 1596-1632.; Great Britain -- Kings and rulers.; Broadsides -- England -- 17th century.",1
A00026,29900271,28115,STC 10021.7; ESTC S3055,Free,,1600,"A Table of the cheiffest citties, and townes in England, as they ly [sic] from London and the distance of miles, howe a man may travill from London to any of them or from any of them to London.",Great Britain -- Cities and towns.; Broadsides -- London (England) -- 16th century.,1
A00028,23006728,26061,STC 10023.5; ESTC S2071,Free,,1635,"A True chronologi of all the kings of England from Brute, the first king vnto our most sacred King Charles mo[n]arke of ye whole yies.",Great Britain -- Kings and rulers -- Succession.; Great Britain -- History.,1
A00033,22839131,25796,STC 10029.5; ESTC S846,Free,England and Wales. Sovereign (1558-1603 : Elizabeth I); Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker),1569,"Aduertisments partly for due order in the publique administration of common prayers and vsinge the holy sacramentes, and partly for the apparrell of all persons ecclesiasticall by vertue of the Queenes Maiesties letters commaunding the same, the xxv. day of January, in the seuenth yeare of the raigne of Oure Soueraigne Lady Elyzabeth, by the grace of God, of Englande, Fraunce and Irelande Queene, defender of the fayth, &c.",Church of England -- Customs and practices.,16
A00034,99836174,430,STC 1003; ESTC S100330,Free,"Aylett, Robert, 1583-1655?",1622,"Susanna: or, the arraignment of the two vniust elders",Susanna -- (Biblical figure) -- Poetry.,50
A00044,33143080,28216,STC 10034.7; ESTC S3157,Free,Church of England.,1579,"A declaration of certaine principall articles of religion set out by the order of both archbishops metropolitans, and the rest of the byshops, for the vnitie of doctrine to be taught and holden by all parsons, vicars, and curates aswell in testification of their common consent in the sayde doctrin, to the stopping of the mouthes of them that go about to slaunder the ministers of the church for diuersitie of iudgement, as necessarie for the instruction of their people, to be read by the syd parsons, vicars and curates, at their possession taking or first entrie into their cures, and also after that yeerely at two several times, that is to say, the Sundayes next following Easter day and Saint Michael tharchangell, or on some other Sunday within one moneth after those feastes, immediatly after the gospell.",Church of England. -- Thirty-nine Articles.; Broadsides -- London (England) -- 17th century.,1
A00049,99853870,19268,STC 1004; ESTC S118663,Free,"Aylett, Robert, 1583-1655?",1622,"Thrifts equipage Viz. fiue diuine and morall meditations, of 1. Frugalitie. 2. Prouidence. 3. Diligence. 4. Labour and care. 5. Death.",Conduct of life -- Early works to 1800.,66
A00075,99837338,1654,STC 10066; ESTC S101528,Free,Church of England.,1597,"Capitula siue constitutiones ecclesiasticÃ¦ per Archiepiscopum, episcopos, & reliquum clerum Cantuariensis prouinciÃ¦ in synodo inchoata Londini vicesimo quinto die mensis Octobris, anno Domini millesimo quingentesimo nonagesimo septimo ... congregatos tractatÃ¦, ac posteÃ  per ipsam Regiam Maiestatem approbatÃ¦ & confirmatÃ¦, & vtrÃ­que prouinciÃ¦ tam Cantuariensi quÃ m Eboracensi vt diligentiÃ¹s obseruentur, eadem regia authoritate sub magno Sigillo AngliÃ¦ promulgatÃ¦.; Constitutions and canons. 1597",Church of England -- Government -- Early works to 1800.; Ecclesiastical law -- Great Britain -- Early works to 1800.,30
A00089,99835843,69,STC 10080; ESTC R212834,Free,Church of England.,1640,"Constitutions and canons ecclesiasticall; treated upon by the Archbishops of Canterbury and York, presidents of the convocations for the respective provinces of Canterbury and York, and the rest of the bishops and clergie of those provinces; and agreed upon with the Kings Majesties licence in their severall synods begun at London and York. 1640 ...; Constitutions and canons ecclesiastical",Church of England -- Government -- Early works to 1800.; Ecclesiastical law -- Great Britain -- Early works to 1800.,54
A00091,99844394,9202,STC 10085; ESTC S108738,Free,"Church of England.; Henry VIII, King of England, 1491-1547.",1538,Iniunctions gyuen by th [sic] auctoritie of the kynges highnes to the clergie of this his realme; Injunctions. 1538,,6
A00092,99847167,12190,STC 10086; ESTC S111907,Free,"Church of England.; Henry VIII, King of England, 1491-1547.",1538,Iniunctions for the clerge Exhibite [blank] die mensis [blank] Anno d[omi]ni M.CCCCC.xxxviii.; Injunctions. 1538,Church of England -- History -- Early works to 1800.; Reformation -- England -- Early works to 1800.,1
A00102,22841048,25804,STC 10100.3; ESTC S850,Free,"England and Wales. Sovereign (1558-1603 : Elizabeth I); Elizabeth I, Queen of England, 1533-1603.",1559,"Iniunctions geven by the Quenes Maiestie anno Domini MD.LIX., the fyrst yeare of the raigne of our Soueraigne Lady Quene Elizabeth.",Church of England -- Government.; Ecclesiastical law -- England.,36
A00156,99851064,16318,STC 1015; ESTC S115847,Free,"Aytoun, Robert, Sir, 1570-1638.",1624,"In obitum ThomÃ¦ RhÃ¦di viri vndequaque meritissimi, et serenissimo regi ab epistolis Latinis epicedium.","Reid, Thomas, d. 1624 -- Poetry -- Early works to 1800.; Funeral sermons -- 17th century.",8
A00157,99847661,12713,STC 10152; ESTC S112407,Free,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575.",1563,"Articles to be enquired of in the visitation of the moste Reuerend father in God, Matthew, by the sufferaunce of God Archebyshop of Canterbury, Primate of all Englande, and Metropolitane in the yeare of oure Lorde God, M, D. LXIII.; Visitation articles. 1563","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Early works to 1800.",12
A00158,22884259,25857,STC 10155.3; ESTC S857,Free,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583.",1577,"Articles to be enquired of, within the prouince of Canterburie, in the metropoliticall visitation of the Moste Reuerende Father in God, Edmonde, Archbishop of Canterburie, primate of all Englande, and metropolitane in the xviij yeare of the reygne of our most gracious souereygne Ladie Elizabeth, by the grace of God, Queene of Englande, Fraunce, and Irelande, defender of the fayth, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",24
A00159,24399905,27630,STC 10155.7; ESTC S2631,Free,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583.",1580,"Articles to be enquired of within the prouince of Canterburie in the metropoliticall visitation of the most reuerend father in God, Edmond Archbishop of Canterburie, primate of all England and metropolitane in the xxii yeere of the reigne of our most gracious souereigne Ladie Elizabeth, by the grace of God, Queene of England, Fraunce and Ireland, defender of the faith, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",22
A00164,99851065,16319,STC 1016; ESTC S115848,Free,"Aytoun, Robert, Sir, 1570-1638.",1626,"Lessus in funere Raphaelis Thorii medici et poetÃ¦ prÃ¦stantissimi, qui Londini peste extinctus bonis et doctis omnibus triste sui desiderium reliquit, Anno 1625.","Thorius, Raphael, d. 1625 -- Poetry -- Early works to 1800.; Funeral sermons -- 17th century.",7
A00171,23024568,26095,STC 10182.5; ESTC S2094,Free,"Church of England. Diocese of Chichester. Bishop (1628-1638 : Montagu); Montagu, Richard, 1577-1641.",1631,"Articles to be enquired of, throughout the whole diocesse of Chichester ministred and giuen in charge to the church-wardens and sidemen within the same diocesse by the reuerend father in God Richard by Gods prouidence Bishop of Chichester, in his generall visitation holden anno Domini 1631.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",20
A00179,20191373,23790,STC 1020.5; ESTC S1525,Free,"Boorde, Andrew, 1490?-1549.",1565,Merie tales of the made men of Gotam gathered to gether by A.B. of phisike doctour.; Merry tales of the mad men of Gotham.,,40
A00190,22372238,25483,STC 10227.3; ESTC S422,Free,"Church of England. Province of Canterbury. Archbishop (1611-1633 : Abbot); Abbot, George, 1562-1633.",1632,"Articles to be enquired of, in the ordinarie visitation of the most reuerend father in God, George by Gods providence, Lord Arch-bishop of Canterbury ... holden in the yeere of our Lord God, 1632, and in the two and twenty yeere of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",16
A00191,24404091,27642,STC 10228.5; ESTC S2637,Free,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594.",1571,"Articles to be inquired of the clergie set foorth by the reuerend father in God, Thomas Bishop of Lincoln, in his first visitation for his diocesse, anno Domini 1571.","Church of England -- Government.; Visitations, Ecclesiastical -- England.",12
A00193,22914254,25865,STC 10230.5; ESTC S863,Free,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594.",1580,"Interrogatories to bee enquyred of by the churche-wardens and sworne-menne within the diocesse of Lincolne, and the trueth thereof to be by them vpon their othes duly prese[n]ted vnto the Bishop there or his deputies, at his visitation, nowe to be holden this present yeare of our Lord, 1580 with particular answere to euery interrogatorie.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",14
A00198,99837433,1754,STC 10248; ESTC S101624,Free,"Church of England. Diocese of London. Bishop (1539-1549, 1553-1559 : Bonner); Bonner, Edmund, 1500?-1569.",1554,Articles to be enquired of in the generall visitation of Edmonde Bisshoppe of London exercised by him the yeare of oure Lorde. 1.5.5.4. in the citie and diocese of London ...; Visitation articles. 1554,"Church of England. -- Diocese of London -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London.",38
A00201,99852003,17300,STC 10250; ESTC S116787,Free,"Church of England. Diocese of London. Bishop (1570-1577 : Sandys); Sandys, Edwin, 1516?-1588.",1571,"Articles to be enquired of in the visitation of the Dioces of London, by the reuerende father in God, Edwyn Bishop of London In the thirtenth yeare of the raigne of our soueraigne ladie Elizabeth, by the grace of God Queene of Englande, Fraunce and Irelande defender of the fayth. &c. 1571.; Visitation articles. 1571","Church of England. -- Diocese of London -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London.",16
A00211,24438958,27666,STC 10265.5; ESTC S2639,Free,"Church of England. Province of Canterbury. Archbishop (1633-1645 : Laud); Laud, William, 1573-1645.",1635,"Articles to be inquired of in the metropoliticall visitation of the most reverend father, VVilliam, by Gods providence, Lord Arch-bishop of Canterbury, primate of all England, and metropolitan in and for the dioces of London, in the yeere of our Lord God 163[blank], and in the [blank] yeere of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",13
A00214,99837436,1757,STC 10267; ESTC S101627,Free,"Church of England. Diocese of London. Bishop (1633-1660 : Juxon); Juxon, William, 1582-1663.; Heylyn, Peter, 1600-1662.",1640,"Articles to be enquired of vvithin the diocesse of London In the third trienniall visitation of the Right Honourable, and Right Reverend Father in God, William, Lord Bishop of London, Lord High Treasurer of England. Holden in the yeare of our Lord God, 1640; Visitation articles. 1640","Church of England -- Pastoral letters and charges -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London -- Early works to 1800.",28
A00215,33149764,28485,STC 10268.3; ESTC S3426,Free,Church of England. Archdeaconry of London.; England and Wales. Privy Council.; Church of England. Diocese of London. Bishop (1611-1621 : King),1615,"Articles to be inquired of by the minister, churchwardens, and sidemen of euery parish, and precinct, within the archdeaconrie of London according to the speciall direction of certaine letters heretofore sent to the Lord Bishop of London, from the right honourable lords of the Privie Councell.","Church of England -- Pastoral letters and charges.; Anti-Catholicism -- England -- London.; Visitations, Ecclesiastical -- England -- London.; Great Britain -- History -- James I, 1603-1625.; Broadsides -- London (England) -- 17th century.",1
A00227,99837440,1761,STC 10285; ESTC S101631,Free,"Church of England. Diocese of Norwich.; Cranmer, Thomas, 1489-1556.; Church of England. Province of Canterbury. Archbishop (1533-1556 : Cranmer)",1549,"Articles to be inquired of in the visitation to be had in the byshopricke of Norwyche, now vacant in the fourth yere of our most drad souerayn lorde Edwarde the sixte ... by the moste Reuerend father in God, Thomas Archebyshop of Cantorbery, prymate of all England and metropolitan.; Visitation articles. 1549","Church of England. -- Diocese of Norwich -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Norwich.",10
A00229,99855751,21253,STC 10287; ESTC S120555,Free,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575.; Church of England. Diocese of Norwich.",1567,"Articles to be enquired of within the dioces of Norwiche, in the metropoliticall visitation of the moste Reuerend father in God, Mathew, by the prouidence of God, Archebyshop of Canterbury Primate of all Englande, and Metropolitane, in the yeare of our Lorde God, M. D. LXVII.; Visitation articles. 1567","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England.",14
A00230,23026350,26103,STC 10289.7; ESTC S2099,Free,"Church of England. Province of Canterbury. Archbishop (1604-1610 : Bancroft); Bancroft, Richard, 1544-1610.",1605,"Articles to be inquired of, in the first metropoliticall visitation, of the most reuerend father, Richarde by Gods prouidence, archbushop [sic] of Canterbury, and primat of all Englande in, and for the dioces of Noruuich, in the yeare of our Lorde God 1605, and in the first yeare of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",16
A00233,99857650,23417,STC 10298; ESTC S122526,Free,"Church of England. Diocese of Norwich. Bishop (1635-1638 : Wren); Wren, Matthew, 1585-1667.",1636,"Articles to be inquired of vvithin the dioces of Norwich in the first visitation of the R. Reverend Father in God, Matthevv, Lord Bishop of Norwich.; Visitation articles. 1636","Church of England. -- Diocese of Norwich -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Norwich -- Early works to 1800.",20
A00234,19999272,23599,STC 1030.7; ESTC S1049,Free,G. B.,1591,"Newes out of France for the gentlemen of England a stratagem most ventrously attempted, and valiantly atchiued by the French King, the 27. day of Iuly. anno Domini 1591 : wherein is desciphered, what trust His Royall Maiestie reposeth on the valour of the English, and their duetifull seruice vnto him at all assayes : newes also touching 16. shippes taken nigh the hauen of deepe, and the discomfiture of the Popes forces transported into France towards the ayde of the leaguers, both concurring on the 28. of Iuly last past : vvith a report of the princely meeting, and honorable conioyning of the whole power of the French King the sixt day of this present moneth of August, consisting of English, Germane, and his owne people.","France -- History -- Henry IV, 1589-1610.",23
A00235,99848676,13787,STC 1030; ESTC S113442,Free,"G. B., fl. 1592-1597.",1635,"A new song, called Jacke Doues resolution by which he doth show, that he cares not a rush how ere the world goe. To the tune of, To driue the cold winter away.; Jacke Doves resolution","Ballads, English -- 17th century.",2
A00249,99851842,17134,STC 1032; ESTC S116626,Free,"H. B., fl. 1588.",1588,A consolatory letter to all the afflicted Catholikes in England,Catholics -- England.,112
A00254,22915746,25879,STC 10326.5; ESTC S871,Free,"Church of England. Diocese of Salisbury. Bishop (1559-1571 : Jewel); Jewel, John, 1522-1571.",1569,"Iniunctions giuen by the Reuerend Father in Christ John by Gods prouidence, Bishop of Sarisburie [sic], aswel to the cleargie, as to the churche wardens and enquirers of euerye seueral parish, aswel of his peculiar as general iurisdiction within and of the diocesse of Sarum to be obserued and kept of euery of them in their offices and callings, as to them shal appertaine, for the aduauncement of Gods honor, thincrease of vertue, and good order to be continued within his sayd diocesse, and the same to be enquired of and put in vse by all the Archdeacons, commissaries, and other officers excercising ecclesiastical iurisdiction vnder the sayde Bishop according to the limittes of their seueral offices and iurisdictions, in their synodes, visitations, inquiries, and courts.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",18
A00256,23030244,26113,STC 10329.3; ESTC S2106,Free,"Church of England. Diocese of Salisbury. Bishop (1618-1619 : Fotherby); Fotherby, Martin, Bishop of Salisbury, 1559-1619.",1619,"Articles to be enquired of, vvithin the Diocesse of Sarisbury, in the first visitation of the right reuerend father in God, Martin, by the prouidence of God, Lord Bishoppe of Sarum holden in the yeere of our Lord God, 1619.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",20
A00257,99852480,17804,STC 1033; ESTC S117265,Free,"H. B., fl. 1566.",1566,The true discripcion of a childe with ruffes borne in the parish of Micheham in the cou[n]tie of Surrey in the yeere of our Lord. M.D.LXvi,Skin -- Diseases -- Early works to 1800.; Monsters -- Early works to 1800.,4
A00259,99854116,19523,STC 1034; ESTC S118909,Free,"H. B., fl. 1593.; Broughton, Hugh, 1549-1612, attributed name.",1593,"Moriemini. A verie profitable sermon preached before her Maiestie at the court, about xiij. yeares since: by H.B.","Sermons, English -- 16th century.",27
A00260,24450190,27683,STC 10349.5; ESTC S2651,Free,Church of England. Archdeaconry of Surrey.,1626,"Articles to be enquired of, by the church-vvardens, and sworne-men, in the visitation of the right worshipfull, the Archdeacon of Surrey","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",12
A00261,99839524,3953,STC 1035; ESTC S103779,Free,"I. B., fl. 1547.; Bale, John, 1495-1563, attributed author.; Bradford, John, 1510?-1555, attributed author.",1547,A bryefe and plaine declaracion of certayne sente[n]ces in this litle boke folowing to satisfie the consciences of them that haue iudged me therby to be a fauourer of the Anabaptistes.; Brife and faythfull declaration of the true fayth of Christ,Protestantism -- Apologetic works -- Early works to 1800.; Christian life -- Protestant authors -- Early works to 1800.; Anabaptists -- Controversial literature -- Early works to 1800.,42
A00263,22916244,25883,STC 10356.5; ESTC S874,Free,"Church of England. Diocese of Winchester. Bishop (1597-1616 : Bilson); Bilson, Thomas, 1546 or 7-1616.",1603,"Articles to be enquired of by the church-wardens and sworne-men, within the diocesse of Winchester in the visitation of the Reuerend Father in God, Thomas Bishop of Winton, in his triennall visitation, holden 1603 in the first yeere of the raigne of Our Most Gracious Soueraigne Lord, Iames by the grace of God King of England, Scotland, France, and Ireland, defender of the faith, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",17
A00265,23030930,26115,STC 10372.2; ESTC S2107,Free,"Church of England. Archdeaconry of Worcester.; Johnson, John, Archdeacon of Worcester.",1609,"Articles to be inquired of, by the churchwardens and sworne men within the Archdea[c]onrie of Worcester in the visitation of the R. Worshipful M. Iohn Iohnson Doctor of Divinitie, Archdeacon of the Archdeaconry of Worcester aforesaide, in this present yeare of our Lorde God, 1609.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",10
