EEBO,Author
99850634,"Aylett
99842408,"Higden
99844302,"Higden
99848896,"Wood
99853871,"Aylett
99837006,"Jones
99836999,"Bacon
99853869,"Aylett
22839131,England and Wales. Sovereign (1558-1603 : Elizabeth I)
22839131,Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker)
99836174,"Aylett
33143080,Church of England.
99853870,"Aylett
99837338,Church of England.
99835843,Church of England.
99844394,Church of England.
99844394,Henry VIII
99847167,Church of England.
99847167,Henry VIII
22841048,England and Wales. Sovereign (1558-1603 : Elizabeth I)
22841048,Elizabeth I
99851064,"Aytoun
99847661,Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker)
99847661,Parker
22884259,Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal)
22884259,Grindal
24399905,Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal)
24399905,Grindal
99851065,"Aytoun
23024568,Church of England. Diocese of Chichester. Bishop (1628-1638 : Montagu)
23024568,Montagu
20191373,"Boorde
22372238,Church of England. Province of Canterbury. Archbishop (1611-1633 : Abbot)
22372238,Abbot
24404091,Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper)
24404091,Cooper
22914254,Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper)
22914254,Cooper
99837433,"Church of England. Diocese of London. Bishop (1539-1549
99852003,Church of England. Diocese of London. Bishop (1570-1577 : Sandys)
99852003,Sandys
24438958,Church of England. Province of Canterbury. Archbishop (1633-1645 : Laud)
24438958,Laud
99837436,Church of England. Diocese of London. Bishop (1633-1660 : Juxon)
99837436,Juxon
33149764,Church of England. Archdeaconry of London.
33149764,England and Wales. Privy Council.
33149764,Church of England. Diocese of London. Bishop (1611-1621 : King)
99837440,Church of England. Diocese of Norwich.
99837440,Cranmer
99855751,Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker)
99855751,Parker
23026350,Church of England. Province of Canterbury. Archbishop (1604-1610 : Bancroft)
23026350,Bancroft
99857650,Church of England. Diocese of Norwich. Bishop (1635-1638 : Wren)
99857650,Wren
19999272,G. B.
99848676,"G. B.
99851842,"H. B.
22915746,Church of England. Diocese of Salisbury. Bishop (1559-1571 : Jewel)
22915746,Jewel
23030244,Church of England. Diocese of Salisbury. Bishop (1618-1619 : Fotherby)
23030244,Fotherby
99852480,"H. B.
99854116,"H. B.
24450190,Church of England. Archdeaconry of Surrey.
99839524,"I. B.
22916244,Church of England. Diocese of Winchester. Bishop (1597-1616 : Bilson)
22916244,Bilson
23030930,Church of England. Archdeaconry of Worcester.
23030930,Johnson
99847124,Church of England. Province of York. Archbishop (1570-1576 : Grindal)
99847124,Grindal
99847128,Church of England. Province of York. Archbishop (1576-1588 : Sandys)
99847128,Sandys
99851846,"Verstegan
99847131,"Whittingham
99847135,"Gilby
99836929,"Northampton
99847149,"Fenner
23031208,Church of England.
99855427,"Deloney
99837460,Epictetus.
99837460,Sandford
99837454,Epictetus.
99837454,Cebes
24457166,"Erasmus
99841226,"Erasmus
99837483,"Erasmus
23225987,I. B.
23225987,Bate
99854394,"Erasmus
99841254,"Erasmus
99853331,"Erasmus
99846697,"Erasmus
99850775,"Erasmus
99857014,"Erasmus
99848668,"Erasmus
99851453,"Erasmus
99855770,"Erasmus
99841255,"Erasmus
22918687,"Erasmus
99841256,"Erasmus
99845455,"Erasmus
23037037,"Erasmus
99844956,"Erasmus
99841222,"Erasmus
99836219,"I. B.
99845541,"Erasmus
99837492,"Erasmus
99845544,"Erasmus
99841259,"Erasmus
99845547,"Erasmus
99845556,"Erasmus
99845562,"Erasmus
99837493,"Erasmus
99845570,"Erasmus
99837506,"Erasmus
99851462,"Erasmus
99855852,"Erasmus
99837514,"Erasmus
99845591,"Erasmus
99855653,"Erbery
99847516,"Erondelle
99837510,"Escalante
99845963,"M. B.
99847687,"Flacius Illyricus
24459255,Essex (England)
99853787,"Est
99853788,"Est
99837496,"Estella
99849740,"Estella
99856540,"Estienne
99837550,"Estienne
99857357,"Estwick
99842412,Euclid.
99842412,Dee
99837551,"Eudes
99837582,"Eunapius
99856557,"Eusebius
99837597,"Eutropius
99849835,"Evans
99856038,"Evans
99853534,"Evans
99837587,"Evans
99837572,"Evans
