A00002,London
A00005,[Enprynted at Londo[n]
A00007,[Imprynted at London
A00008,[The Netherlands?
A00011,[Amsterdam]
A00012,London
A00014,[London]
A00015,At London
A00018,[Germany?
A00021,Imprinted at London
A00024,London
A00025,[London?
A00026,London
A00028,[London
A00033,Imprinted at London
A00034,London
A00044,Imprinted at London
A00049,London
A00075,Londini
A00089,London
A00091,[[London]
A00092,[[London
A00102,[London]
A00156,[London]
A00157,Imprinted at London
A00158,Imprinted at London
A00159,Imprinted at London
A00164,London
A00171,London
A00179,[London]
A00190,Imprinted at London
A00191,[London]
A00193,Imprinted at London
A00198,[Excusum Londini
A00201,Imprinted at London
A00211,Printed at London
A00214,London
A00215,[London
A00227,Londini
A00229,Imprinted at London
A00230,At London
A00233,Printed at London
A00234,Imprinted at London
A00235,Printed at London
A00249,Imprinted at Roan in Normandy [i.e. London
A00254,Imprinted at London
A00256,At London
A00257,Imprinted at London
A00259,London
A00260,Printed at London
A00261,[London
A00263,Printed at London
A00265,At London
A00267,Imprinted at London
A00268,Imprinted at London
A00271,[Antwerp
A00275,[Emden
A00277,[Emden
A00281,Imprinted at London
A00283,At London
A00285,[S.l.
A00287,[London
A00289,[London?]
A00293,Printed at London
A00301,Imprinted at London
A00303,At London
A00313,London
A00316,[London]
A00320,Londini
A00321,London
A00325,Londini
A00327,[Printed at London
A00329,[At London
A00331,[London?
A00332,[Imprynted at London
A00333,London
A00338,[Imprinted at London
A00341,[Londini
A00342,[Imprinted at London
A00344,[Imprinted at London
A00350,[London]
A00354,[Imprynted at London
A00356,Imprinted at London
A00358,[London]
A00361,[Imprinted at London
A00363,[Imprynted at London
A00364,[Imprinted at London
A00374,[Imprinted at Ausborch [i.e. Antwerp]
A00375,[Printed at London
A00376,[London
A00377,[Imprynted at London
A00378,[At Malborow [i.e. Antwerp]
A00380,[London
A00381,[Imprinted at London
A00384,[Imprinted at London
A00386,[[London]
A00387,[Imprynted at London
A00389,[Londini
A00391,[Imprynted at London
A00392,[[London]
A00393,[Imprynted at London
A00395,London
A00397,At London
A00400,Imprinted in London
A00401,Imprinted at London
A00402,[[London]
A00403,[Cambridge, England
A00405,London
A00408,London
A00412,[Rouen
A00414,Imprinted at London
A00419,London
A00423,[London]
A00426,London
A00429,Imprinted at London
A00430,London
A00437,Imprinted at London
A00439,Londini
A00440,Imprinted at London
A00446,[Imprinted at London
A00448,At Oxford
A00452,London
A00454,[London
A00455,Antverpiæ
A00457,Imprinted at London
A00458,[Imprinted at London
A00459,Oxford
A00460,London
A00461,London
A00462,[London]
A00465,Londini
A00472,Imprinted at London
A00475,London
A00476,[London
A00477,At London
A00478,London
A00483,[Imprinted at London
A00489,Imprinted at London
A00499,Imprinted at London
A00505,London
A00508,Imprinted at London
A00510,London
A00514,At London
A00518,Imprinted at London
A00519,Printed at London
A00522,[Imprynted at London
A00525,Prentyd at London
A00527,London
A00535,[Saint-Omer
A00538,At London
A00541,London
A00549,London
A00552,London
A00562,Printed at London
A00563,[London
A00564,[London]
A00565,Imprinted at London
A00566,London
A00573,Londini
A00580,London
A00584,London
A00586,Oxford
A00587,At London
A00594,London
A00596,[London
A00597,London
A00599,London
A00601,London
A00602,London
A00604,London
A00611,At London
A00616,[Imprinted at London
A00617,London
A00619,London
A00626,[London
A00627,Imprinted at London
A00630,[Middelburg
A00631,Middelburgh
A00634,[Middelburg
A00635,Edinburgh
A00637,At London
A00639,[Middelburg
A00641,Imprinted at Midleburgh
A00642,Imprinted at Middelborg
A00646,London
A00648,London
A00649,London
A00650,London
A00652,Imprinted at London
A00659,Imprinted at London
A00662,[London
A00663,Imprinted at London
A00664,At London
A00671,At London
A00673,[Antwerp
A00678,Printed at Flushing [i.e. London]
A00680,Printed at the Hage [i.e. London
A00685,Imprinted at Edinburgh
A00686,At London
A00687,Imprentit at Sanctandrois
A00689,Imprinted at London
A00694,London
A00695,Oxford
A00698,[London]
A00699,London
A00700,At London
A00702,London
A00703,Imprinted at London
A00705,Jmprynted at London in Flete strete at the sygne of the Sonne
A00706,[London
A00709,London
A00710,At London
A00712,[Cologne
A00714,Imprinted at London
A00718,[Hemel Hempstead?
A00723,London
A00725,Printed at London
A00726,At London
A00728,At Oxford
A00730,London
A00734,Imprinted at London
A00737,Printed at London
A00742,[Middelburg
A00746,London
A00748,London
A00749,[London?
A00750,[Imprinted at London
A00753,At London
A00755,Imprinted at London
A00758,[London
A00760,London
A00761,London
A00762,[Imprinted at London
A00766,[Enprynted at London
A00769,[Imprinted at London
A00771,[[London]
A00776,[London
A00777,London
A00778,At London
A00779,[Enprynted at London
A00789,[Newly enprynted at London
A00791,[London
A00792,Imprinted at Londo[n]
A00793,[Saint-Omer
A00794,[Saint-Omer
A00796,[St. Omer
A00797,[Saint-Omer
A00799,Imprinted at London
A00800,Imprinted at London
A00801,Imprinted at London
A00808,Imprinted at London
A00816,Oxford
A00818,Printed at London
A00819,Imprinted at London
A00823,At Oxford
A00825,London
A00826,London
A00831,At London
A00880,Imprynted at London
A00883,[Enprynted at London
A00884,[Imprynted at London
A00888,London
A00895,[Imprinted at London
A00908,[Antwerp]
A00916,[Saint-Omer]
A00918,[Enprynted at Westmestre
A00923,[London
A00924,Imprinted at London
A00926,London
A00927,[Saint-Omer
A00930,Printed at London
A00931,[[London]
A00932,Imprinted at London
A00933,At London
A00935,[London]
A00939,[[London]
A00940,Imprinted at London
A00941,Imprinted at London
A00942,[S.l.
A00943,Imprinted at London
A00945,Printed at London
A00946,[Cambridge
A00947,At London
A00948,Cambridge
A00954,At London
A00958,London
A00959,Oxford
A00960,London
A00962,Printed at London
A00966,London
A00967,Oxford
A00968,London
A00969,Printed at London
A00970,London
A00972,London
A00973,London
A00975,London
A00977,[Cambridge]
A00979,London
A00980,London
A00981,Imprinted at London
A00982,At London
A00983,[London
A00990,[London]
A00991,Printed at London
A00993,London
A00997,London
A01001,Printed at London
A01002,[London?
A01003,London
A01004,Printed at Cullen [i.e. Saint-Omer
A01011,[Saint-Omer
A01013,Printed at London
A01014,London
A01017,London
A01020,London
A01023,[Amsterdam
A01025,[Amsterdam
A01027,At Amsterdam
A01028,At Middelburgh
A01030,Printed at Delff
A01032,Imprinted at Delph
A01033,At Middelburgh
A01038,Aberdene
A01039,[Edinburgh?]
A01041,Printed at Middelburgh
A01042,Aberdene
A01043,London
A01044,Edinburgh
A01045,Aberdene
A01046,London
A01047,London
A01048,At London
A01049,London
A01052,London
A01053,[London]
A01055,London
A01056,London
A01057,London
A01058,Imprinted at London
A01059,London
A01062,London
A01064,At London
A01066,London
A01073,Imprinted at London
A01075,London
A01076,London
A01077,London
A01080,[Imprinted at London
A01083,London
A01084,[London]
A01085,London
A01086,[London]
A01089,London
A01090,London
A01091,London
A01092,London
A01093,London
A01094,At London
A01095,London
A01097,Imprinted at London
A01098,London
A01099,Printed at Amsterdam
A01100,Imprentit at Edinburgh
A01101,[Edinburgh]
A01108,London
